year	elevation	dz_dt	msl
2041	0.709494085	0.009494085	0.3006
2042	0.7089571017177	-0.0005369832822999993	0.3117
2043	0.7086009969707575	-0.00035610474694249775	0.3227
2044	0.7088976979784646	0.00029670100770706883	0.3337
2045	0.7094067363204647	0.0005090383420001438	0.3447
2046	0.7033175394546543	-0.006089196865810488	0.3605
2047	0.7034403516435022	0.00012281218884793764	0.37
2048	0.7018990126550243	-0.0015413389884778059	0.3814
2049	0.6986442643638208	-0.003254748291203496	0.3948
2050	0.6959131343315426	-0.0027311300322781554	0.4078
2051	0.6959179974240176	4.863092475030587e-06	0.4182
2052	0.6974118236048031	0.0014938261807854976	0.4275
2053	0.6970969506797885	-0.0003148729250146195	0.4387
2054	0.6963503101020685	-0.0007466405777200075	0.4504
2055	0.696446630707396	9.632060532751337e-05	0.4612
2056	0.6957792664220865	-0.0006673642853094923	0.4731
2057	0.6918129550992467	-0.0039663113228398765	0.4886
2058	0.6905645450235061	-0.0012484100757405763	0.5017
2059	0.6915437803229411	0.0009792352994350507	0.5126
2060	0.6896703158408758	-0.0018734644820652792	0.5247
2061	0.6866381297977463	-0.00303218604312945	0.5381
2062	0.6834442125435918	-0.003193917254154475	0.5519
2063	0.6818034750716572	-0.0016407374719345541	0.5647
2064	0.6787805878578343	-0.003022887213822831	0.5791
2065	0.6751865462507097	-0.0035940416071246033	0.594
2066	0.6711157106238893	-0.004070835626820429	0.6095
2067	0.6700998221969428	-0.0010158884269465896	0.6221
2068	0.6694108738259031	-0.0006889483710396018	0.635
2069	0.6664313205105326	-0.002979553315370585	0.6486
2070	0.6634647694022453	-0.0029665511082872294	0.6622
2071	0.6599074790436695	-0.003557290358575784	0.6771
2072	0.6556682835788469	-0.004239195464822645	0.6929
2073	0.6511828166479361	-0.004485466930910786	0.7091
2074	0.6478647739907929	-0.00331804265714318	0.7249
2075	0.6448276003701382	-0.0030371736206546486	0.7407
2076	0.6397776283750575	-0.005049971995080742	0.7567
2077	0.6340427303766407	-0.005734897998416715	0.7734
2078	0.6282511509667197	-0.00579157940992105	0.7905
2079	0.6224089873246622	-0.005842163642057528	0.808
2080	0.6160711384876552	-0.006337848837007014	0.8262
2081	0.6112648510188367	-0.004806287468818532	0.8431
2082	0.6075656189810003	-0.003699232037836361	0.8594
2083	0.6037270962870745	-0.003838522693925702	0.876
2084	0.6003217283741462	-0.0034053679129283786	0.8923
2085	0.5965377638264125	-0.0037839645477337073	0.909
2086	0.5942296257703626	-0.0023081380560499446	0.9246
2087	0.5923654231057845	-0.0018642026645781032	0.94
2088	0.5909301424011745	-0.001435280704610057	0.9553
2089	0.5888810241844793	-0.0020491182166952272	0.9713
2090	0.584750956080306	-0.004130068104173275	0.9878
2091	0.5793009432804059	-0.005450012799900093	1.0058
2092	0.5741104431459015	-0.005190500134504417	1.0238
2093	0.5691689557307678	-0.004941487415133759	1.0422
2094	0.5637188329802276	-0.005450122750540156	1.0614
2095	0.5567522997198198	-0.00696653326040787	1.0821
2096	0.5597524445099191	0.003000144790099404	1.0928
2097	0.5522358082419463	-0.00751663626797288	1.1143
2098	0.5455279903957282	-0.006707817846218119	1.1358
2099	0.5373427381320875	-0.008185252263640658	1.1573
2100	0.529236506958726	-0.008106231173361558	1.1788
