year	elevation	dz_dt	msl
2041	0.71752558	0.017525580000000002	0.112
2042	0.7249884238396	0.0074628438396	0.1148
2043	0.7324869342412161	0.0074985104016161205	0.1175
2044	0.740470493143921	0.007983558902704833	0.1202
2045	0.7484220586019951	0.007951565458074026	0.123
2046	0.7539454606209389	0.0055234020189438345	0.1262
2047	0.7578165280056566	0.0038710673847176845	0.1309
2048	0.7612076964325074	0.0033911684268508025	0.1362
2049	0.768565637698413	0.007357941265905571	0.1376
2050	0.7723099759968436	0.0037443382984305466	0.1426
2051	0.7780757728663453	0.005765796869501737	0.1456
2052	0.7844197395042853	0.006343966637940001	0.1483
2053	0.7909194206360509	0.006499681131765579	0.1508
2054	0.7952730013161475	0.00435358068009665	0.1554
2055	0.8009565932950681	0.00568359197892054	0.1585
2056	0.8063471310033286	0.005390537708260526	0.1621
2057	0.8111777308729778	0.0048305998696493106	0.1664
2058	0.8182494269130385	0.007071696040060675	0.1686
2059	0.8243487712486985	0.006099344335660102	0.1717
2060	0.8295183528482996	0.005169581599601057	0.1739
2061	0.8345785271677972	0.005060174319497633	0.1762
2062	0.8416953548635974	0.007116827695800167	0.1765
2063	0.8461007562895511	0.004405401425953737	0.1799
2064	0.8493602335087207	0.0032594772191696215	0.1845
2065	0.8549810032186981	0.005620769709977346	0.1865
2066	0.8610371853693723	0.006056182150674321	0.188
2067	0.8675029385212534	0.0064657531518810245	0.1891
2068	0.8715033435460346	0.00400040502478122	0.1931
2069	0.8765476311218969	0.005044287575862308	0.1943
2070	0.8809176885942142	0.004370057472317186	0.1961
2071	0.8863660864094758	0.005448397815261678	0.1977
2072	0.8907256417412697	0.004359555331793835	0.2005
2073	0.8958775188691958	0.005151877127926059	0.2025
2074	0.9025141971347376	0.00663667826554182	0.2034
2075	0.9073796402503065	0.004865443115568921	0.2062
2076	0.9097640967323182	0.0023844564820116403	0.2095
2077	0.9139158879968224	0.004151791264504264	0.2109
2078	0.9195893112790438	0.005673423282221344	0.2108
2079	0.9222970662281099	0.0027077549490662025	0.2138
2080	0.9261710411273569	0.0038739748992470307	0.2156
2081	0.9293194915629058	0.0031484504355488996	0.2182
2082	0.9308191467867432	0.0014996552238373123	0.2228
2083	0.9356111195950443	0.004791972808301162	0.2241
2084	0.9371956527602685	0.001584533165224198	0.2286
2085	0.9416353434008238	0.00443969064055528	0.2301
2086	0.9490325034507324	0.007397160049908626	0.2288
2087	0.9526156314951322	0.003583128044399794	0.2315
2088	0.9563960524133711	0.0037804209182389073	0.2342
2089	0.9571162624966346	0.0007202100832635211	0.24
2090	0.9576039474107623	0.0004876849141277049	0.2443
2091	0.9615031170809855	0.0038991696702231657	0.2452
2092	0.9642586829550274	0.002755565874041876	0.2474
2093	0.9657412204876429	0.0014825375326155128	0.2513
2094	0.9698350513755291	0.004093830887886157	0.2526
2095	0.9707003199562385	0.0008652685807095039	0.257
2096	0.9733828601419021	0.0026825401856636322	0.2596
2097	0.9734951920536797	0.0001123319117775684	0.2649
2098	0.9741653240828708	0.00067013202919111	0.2701
2099	0.9732559830373282	-0.0009093410455426065	0.2753
2100	0.9722921231287788	-0.0009638599085493907	0.2806
